Time	6	7
Stage	6	7
Actb	3.149555e-02	1.895993e-02
Ahcy	-5.204199e-02	-1.641227e-02
Aqp3	8.577049e-02	-1.807708e-01
Atp12a	2.132935e-01	-8.802018e-03
Bmp4	-1.112672e-01	-2.577808e-01
Cdx2	1.242234e-01	-3.089834e-03
Creb3l2	-1.290422e-01	2.095184e-01
Cebpa	6.835421e-02	-4.031557e-03
Dab2	2.114164e-01	1.811720e-01
Dppa1	2.950601e-01	-9.322164e-03
Eomes	7.215683e-02	6.635148e-02
Esrrb	-1.670013e-01	-1.497955e-01
Fgf4	-1.393323e-01	-3.090831e-01
Fgfr2	1.086196e-01	2.376303e-01
Fn1	-2.010973e-01	-1.043918e-01
Gapdh	5.557818e-03	7.028973e-03
Gata3	1.585458e-01	3.928359e-02
Gata4	-1.309137e-01	3.037006e-01
Gata6	-3.443248e-02	2.711434e-01
Grhl1	1.047175e-01	-3.411522e-02
Grhl2	6.132314e-02	-2.993005e-02
Hand1	-3.350421e-02	-3.127587e-02
Hnf4a	-1.317325e-01	4.253543e-02
Id2	3.201716e-01	5.606343e-02
Klf2	-1.484757e-01	-2.377376e-01
Klf4	-7.286632e-02	-7.742145e-02
Klf5	5.047705e-02	4.734208e-02
Krt8	1.351355e-01	5.894794e-02
Lcp1	9.722370e-02	-6.418576e-02
Mbnl3	1.476412e-01	3.881524e-02
Msc	7.126348e-03	-1.170880e-01
Msx2	9.315617e-02	1.227269e-01
Nanog	-8.363959e-02	-2.344389e-01
Pdgfa	6.873327e-02	-7.396444e-02
Pdgfra	-2.773728e-01	2.783423e-01
Pecam1	-2.459496e-01	-1.564135e-01
Pou5f1	-3.542544e-02	-2.430814e-02
Runx1	1.247143e-01	2.875664e-01
Sox2	-2.263206e-01	-2.387973e-01
Sall4	-5.569529e-03	2.084742e-02
Sox17	-3.168038e-02	7.943068e-02
Snai1	-1.782967e-01	1.353260e-01
Sox13	1.002033e-01	-5.136142e-02
Tcfap2a	1.815679e-01	4.746428e-02
Tcfap2c	1.352036e-02	-6.240690e-03
Tcf23	-1.290712e-01	1.276206e-01
Utf1	-1.583962e-01	-7.296266e-02
Tspan8	2.356285e-01	-3.673643e-02
