Time	6	7
Stage	6	7
1C 1	6.336145e+00	-1.014926e+00
1C 2	7.916607e+00	2.938889e+00
1C 3	6.614814e+00	7.680786e-01
1C 4	8.921657e+00	1.493843e+00
1C 5	6.924913e+00	1.153685e+00
1C 6	7.032129e+00	3.575092e-01
1C 7	7.337101e+00	1.896786e+00
1C 8	6.181059e+00	-1.895936e+00
1C 9	8.483536e+00	1.532255e+00
2C 1.1	1.151168e+01	5.546788e+00
2C 1.2	1.361260e+01	5.760510e+00
2C 2.1	1.191803e+01	7.074967e+00
2C 2.2	1.265724e+01	8.112275e+00
2C 3.1	1.121389e+01	8.401219e+00
2C 3.2	1.250632e+01	7.349934e+00
2C 4.1	1.383722e+01	5.168438e+00
2C 5.1	1.196285e+01	5.288472e+00
2C 5.2	1.252429e+01	2.381171e+00
2C 6.1	9.994199e+00	5.763863e+00
2C 6.2	1.332214e+01	5.603721e+00
2C 7.1	1.441390e+01	8.467786e+00
2C 7.2	1.338773e+01	5.753259e+00
2C 8.1	1.292466e+01	4.957287e+00
2C 8.2	1.533908e+01	7.470798e+00
2C 9.1	1.376913e+01	2.857501e+00
2C 9.2	1.355257e+01	4.058134e+00
2C 10.1	1.363977e+01	5.941226e+00
2C 10.2	1.556871e+01	4.426585e+00
4C 1.1	1.400535e+01	4.900709e+00
4C 1.2	1.199390e+01	6.556087e+00
4C 1.3	1.514992e+01	6.111752e+00
4C 1.4	1.484174e+01	6.919302e+00
4C 2.1	1.625661e+01	8.689764e+00
4C 2.2	1.550634e+01	7.109253e+00
4C 2.3	1.504825e+01	6.849774e+00
4C 3.1	1.544228e+01	5.418550e+00
4C 3.2	1.433376e+01	4.583039e+00
4C 3.3	1.502336e+01	7.279901e+00
4C 3.4	1.438112e+01	3.594648e+00
4C 4.1	1.351085e+01	5.150529e+00
4C 4.2	1.428348e+01	6.146787e+00
4C 4.3	1.389540e+01	3.362401e+00
4C 4.4	1.506443e+01	5.845581e+00
4C 5.1	1.804104e+01	2.479686e+00
