Time	6	7	8
Stage	6	7	8
cell_1	8.891386e+00	1.123641e+03	-1.074970e+03
cell_2	-3.231275e+02	5.476439e+02	-7.987598e+02
cell_3	-1.241775e+02	9.720737e+02	-1.191378e+03
cell_4	-1.363847e+02	5.701727e+02	-7.353926e+02
cell_5	-1.515665e+03	8.609639e+00	-1.359446e+03
cell_6	-1.141028e+03	3.631296e+02	-1.282829e+03
cell_7	-5.951031e+02	6.457368e+02	-1.208664e+03
cell_8	1.665146e-01	1.142878e+03	-1.049655e+03
cell_9	-3.901356e+00	1.060024e+03	-9.876059e+02
cell_10	-6.887533e+00	1.162463e+03	-1.066892e+03
cell_11	1.715619e+01	1.049874e+03	-9.836399e+02
cell_12	-2.657164e+02	1.745293e+01	-2.932774e+02
cell_13	-8.511224e+00	1.175780e+03	-1.081935e+03
cell_14	-2.278046e+02	7.689099e+02	-1.038652e+03
cell_15	-2.459354e+01	1.103944e+03	-1.061444e+03
cell_16	-7.211298e+02	-3.513937e+01	-6.482212e+02
cell_17	9.806436e-01	1.125359e+03	-1.026979e+03
cell_18	-1.299285e+02	-4.301911e+01	7.232169e+00
cell_19	-2.135661e+02	9.599601e+02	-1.079510e+03
cell_20	-3.864030e+02	7.912394e+02	-1.132346e+03
cell_21	-2.890168e+02	6.346979e+02	-8.172923e+02
cell_22	-2.258723e+02	9.635795e+02	-1.121377e+03
cell_23	-5.059667e+02	7.432607e+02	-1.113232e+03
cell_24	-1.049557e+01	1.025633e+03	-9.672176e+02
cell_25	-1.126187e+03	-6.031159e+02	-1.180088e+03
cell_26	-5.291319e+01	8.246813e+02	-1.177091e+03
cell_27	8.789092e+01	3.482836e+02	-1.300839e+02
cell_28	9.523619e+00	1.042825e+03	-9.276259e+02
cell_29	-2.170558e+00	1.152163e+03	-1.054563e+03
cell_30	-1.614768e+01	1.118631e+03	-1.034384e+03
cell_31	-7.747393e+01	2.519202e+02	-3.165994e+02
cell_32	3.109560e+00	1.053182e+03	-9.474751e+02
cell_33	-5.889335e+01	9.438103e+02	-1.055386e+03
cell_34	1.245502e+01	9.482009e+02	-8.160311e+02
cell_35	-4.138784e+01	9.383251e+02	-8.823135e+02
cell_36	-3.574118e+01	8.568966e+02	-8.507365e+02
cell_37	-1.320439e+01	1.075336e+03	-1.080091e+03
cell_38	-1.253909e+02	9.873756e+02	-1.012494e+03
cell_39	-1.540401e+02	-1.038680e+03	6.867042e+02
cell_40	6.162798e+01	3.990020e+02	-5.410741e+02
cell_41	-3.006921e+01	1.061549e+03	-1.052782e+03
cell_42	7.033887e+01	8.914790e+02	-1.230787e+03
cell_43	-3.420722e+02	4.801416e+02	-8.354416e+02
cell_44	-3.628520e+00	1.028104e+03	-9.564206e+02
cell_45	7.803824e+00	1.053164e+03	-9.719547e+02
cell_46	6.154031e+00	1.086678e+03	-9.837587e+02
cell_47	-1.102320e+02	3.923930e+02	-4.313372e+02
cell_48	-1.877116e+01	1.079123e+03	-1.015578e+03
cell_49	9.725875e+01	4.167445e+02	-3.066054e+02
cell_50	-9.401576e+01	9.179550e+02	-8.988457e+02
cell_51	-1.092177e+02	6.804640e+02	-7.774102e+02
cell_52	-5.406122e+02	-4.252222e+02	-3.640616e+02
cell_53	-1.787825e+01	1.070650e+03	-1.000632e+03
cell_54	-9.933473e+02	5.659885e+01	-9.822289e+02
cell_55	9.710450e+01	-6.144809e+01	2.803368e+02
cell_56	-2.474435e+01	1.063248e+03	-1.030013e+03
cell_57	-1.915575e+02	8.953813e+02	-1.153566e+03
cell_58	-1.481459e+01	1.047860e+03	-9.744793e+02
cell_59	3.926693e+00	-2.645401e+02	4.350807e+02
cell_60	-8.511823e+01	4.064367e+02	-7.044884e+02
cell_61	1.638428e+02	-5.300481e+02	8.547821e+02
cell_62	-3.576856e+00	1.171259e+03	-1.083428e+03
cell_63	-2.610114e+01	1.029786e+03	-9.685364e+02
cell_64	-1.338412e+02	5.875135e+02	-1.004433e+03
cell_65	4.388753e+00	1.097725e+03	-1.000269e+03
cell_66	-1.135769e+03	9.440766e+01	-1.049730e+03
cell_67	-2.570112e+02	6.724957e+02	-1.072497e+03
cell_68	9.634613e+01	7.816842e+02	-8.865630e+02
cell_69	-8.505043e+01	8.189372e+02	-9.240887e+02
cell_70	3.875388e+00	1.076844e+03	-9.943859e+02
cell_71	1.604042e+02	2.512569e+02	-5.650762e+02
cell_72	-3.258914e+02	8.595935e+02	-1.157056e+03
cell_73	8.389739e+00	1.035782e+03	-9.325485e+02
cell_74	2.656191e+02	-4.979962e+02	4.856076e+02
cell_75	-1.257319e+02	9.445886e+02	-9.485575e+02
cell_76	1.469441e+01	1.072315e+03	-1.005390e+03
cell_77	1.231491e+00	1.119904e+03	-1.026039e+03
cell_78	1.032543e+02	-7.992929e+02	9.405079e+02
cell_79	1.745596e+01	8.588577e+02	-7.462367e+02
cell_80	-1.323961e+01	9.895087e+02	-9.496631e+02
cell_81	1.714197e+01	9.913284e+02	-9.087811e+02
cell_82	-1.674263e+01	1.080541e+03	-1.023921e+03
