Stage	Stage_16
Sec14l4	0.000523
Etfb	0.000085
Lgals9	-0.000482
Aprt	0.000951
Sord	0.001608
Gsta4	0.000649
Slc15a2	0.002412
Riok1	-0.000696
Cox6b1	-0.000212
Ccne1	0.000117
Phyh	-0.003183
Lsm7	-0.000414
Smagp	0.000150
Psat1	-0.001664
Mir703	-0.000026
Pla2g4c	-0.000144
Cldn4	0.002497
Ube2d3	-0.000343
Pttg1ip	0.000371
Slc25a4	0.000583
Gstp1	-0.000973
Gpx4	0.000431
Pabpn1	0.000725
Sumo1	-0.000513
Hmox1	0.000819
Taf9	-0.000176
Tpm1	0.002177
Hsd17b14	-0.001467
Cox6c	0.000000
Asns	-0.002568
Zfp781	-0.001009
Atp5e	0.000138
Fam25c	-0.004522
Mageb16	-0.001418
Fxyd4	0.002897
Sugt1	-0.000121
Prps1	-0.000806
Pkm2	-0.000994
Cilp	0.000114
Gm13691|Gm13693|Gm13694|Gm13695|Gm13696|Gm13697|Gm13698	-0.000145
Scp2	0.000080
Guca1a	-0.000174
Dstn	0.001508
Rpl36al	-0.000184
Lcp1	0.003116
Ifi30	0.000828
1810027O10Rik	-0.001602
Bmi1	0.001041
2310040G24Rik	-0.000122
Gja1	-0.002871
Acta1	0.000515
Cox7c	-0.000056
Ddt	-0.001000
Sc5d	-0.000687
Slc5a6	0.002053
Tat	-0.000644
Zfp707	0.000103
Snord47	-0.002045
Rps27l	-0.000261
Rps27a	-0.000470
Sfn	-0.000737
Cldn7	0.003193
H2-D1	0.001136
Map1lc3a	0.000257
Cfl1	0.000181
Bsg	0.000078
Rpl7a	-0.000531
Gm13691|Gm13693|Gm13694|Gm13695|Gm13696|Gm13697|Gm13698	0.000080
Ptdss2	-0.002240
Myl6	0.001316
Fam96a	0.001635
Tesc	-0.000227
Znhit3	-0.000637
Brdt	-0.000001
Vkorc1	-0.000593
Sox15	-0.001618
2410004A20Rik	-0.001037
Ctsc	0.001303
0610010O12Rik	0.001683
Slc45a3	0.001173
Gstz1	-0.002004
Adk	0.000697
Zfp433	0.000356
Pdia6	0.000389
Epcam	0.001509
Dab2	0.003285
Crip2	0.002434
Atp5k	-0.000012
Ptgr1	0.001238
Nfya	-0.000020
Psip1	-0.000968
